benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
100966547.yaml,3,0,1,2,0,0,0,0,0,0,0,0
121333316.yaml,31,0,4,27,0,0,0,0,0,0,0,0
121473558.yaml,35,1,3,31,1,0,0.0,1,1,0,0,0
125417082.yaml,3,0,3,0,0,0,0,0,0,0,0,0
137603984.yaml,34,3,3,28,0,0,0.0,6,6,0,0,0
144745766.yaml,13,0,4,9,0,0,0,0,0,0,0,0
148418355.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
153061097.yaml,2,0,1,1,0,0,0,0,0,0,0,0
157899601.yaml,65,3,12,50,1,0,1.3333333333333333,9,5,2,0,2
163125327.yaml,58,5,12,41,4,0,0.0,6,6,0,0,0
163315066.yaml,5,0,3,2,0,1,0,0,0,0,0,0
168784556.yaml,59,0,4,55,0,0,0,0,0,0,0,0
174826274.yaml,7,2,4,1,1,0,0.0,3,3,0,0,0
181561553.yaml,48,2,8,38,1,0,0.0,3,3,0,0,0
181720569.yaml,2,0,1,1,0,0,0,0,0,0,0,0
181720740.yaml,2,0,1,1,0,0,0,0,0,0,0,0
187089690.yaml,52,23,25,4,8,0,2.347826086956522,119,86,18,6,9
190412175.yaml,43,0,5,38,0,0,0,0,0,0,0,0
190484422.yaml,23,0,4,19,0,0,0,0,0,0,0,0
193340296.yaml,4,0,3,1,0,0,0,0,0,0,0,0
194041313.yaml,31,5,2,24,0,0,0.0,10,10,0,0,0
195850121.yaml,41,16,23,2,5,0,1.75,80,61,9,3,7
195851493.yaml,7,1,2,4,0,0,0.0,2,2,0,0,0
195899036.yaml,156,61,73,22,13,0,1.4426229508196722,385,311,30,20,24
196598626.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
196702979.yaml,38,0,4,34,0,0,0,0,0,0,0,0
197647694.yaml,59,0,4,55,0,0,0,0,0,0,0,0
199184077.yaml,36,5,4,27,0,0,0.0,18,14,0,4,0
201490920.yaml,38,0,4,34,0,0,0,0,0,0,0,0
202494073.yaml,67,3,15,49,1,0,1.3333333333333333,9,5,2,0,2
202768370.yaml,9,0,9,0,0,0,0,0,0,0,0,0
206185851.yaml,55,0,4,51,0,0,0,0,0,0,0,0
206293398.yaml,54,3,12,39,1,0,1.3333333333333333,9,5,2,0,2
206303170.yaml,4,1,2,1,0,0,0.0,2,2,0,0,0
20723151.yaml,4,0,4,0,0,0,0,0,0,0,0,0
207312367.yaml,4,0,3,1,0,0,0,0,0,0,0,0
207839347.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
208576783.yaml,43,1,10,32,1,0,0.0,1,1,0,0,0
209889750.yaml,47,22,22,3,7,0,2.4545454545454546,118,85,18,6,9
210168592.yaml,13,1,7,5,0,0,0.0,2,2,0,0,0
210998966.yaml,18,2,7,9,1,0,1.0,10,7,2,1,0
211737718.yaml,4,1,2,1,0,0,0.0,2,2,0,0,0
212640038.yaml,44,0,3,41,0,1,0,0,0,0,0,0
214622260.yaml,59,3,13,43,1,0,1.3333333333333333,9,5,2,0,2
214769506.yaml,38,0,4,34,0,0,0,0,0,0,0,0
215300189.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
215850304.yaml,83,3,18,62,1,0,1.3333333333333333,9,5,2,0,2
216064337.yaml,42,1,6,35,1,0,0.0,1,1,0,0,0
216132003.yaml,5,2,1,2,0,0,0.0,4,4,0,0,0
216392999.yaml,33,13,18,2,5,0,1.0769230769230769,51,39,5,2,5
217056370.yaml,11,3,6,2,1,0,0.6666666666666666,4,3,1,0,0
217766780.yaml,7,3,4,0,3,0,0.0,3,3,0,0,0
218573643.yaml,47,3,18,26,1,0,1.3333333333333333,9,5,2,0,2
218836177.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
219053384.yaml,82,4,23,55,1,0,1.0,11,7,2,0,2
219718260.yaml,12,0,1,11,0,0,0,0,0,0,0,0
220139138.yaml,16,5,8,3,1,0,1.2,17,13,2,1,1
220415743.yaml,4,3,1,0,0,0,0.0,12,9,0,3,0
223512483.yaml,4,1,3,0,1,0,0.0,1,1,0,0,0
223530022.yaml,2,1,1,0,0,0,0.0,4,3,0,1,0
223846244.yaml,31,15,14,2,3,0,1.8666666666666667,86,64,10,5,7
224315502.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
225079023.yaml,4,3,1,0,0,0,1.3333333333333333,12,7,2,1,2
225353356.yaml,24,0,1,23,0,0,0,0,0,0,0,0
225508006.yaml,1,0,1,0,0,0,0,0,0,0,0,0
225650863.yaml,53,3,12,38,1,0,1.3333333333333333,9,5,2,0,2
226786088.yaml,33,15,8,10,4,0,1.3333333333333333,58,42,7,3,6
227476676.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
228228987.yaml,1,0,1,0,0,0,0,0,0,0,0,0
228800925.yaml,4,0,3,1,0,0,0,0,0,0,0,0
228891938.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
229204016.yaml,57,2,13,42,0,0,0.0,6,5,0,1,0
229582755.yaml,51,17,23,11,5,0,0.8235294117647058,72,61,2,7,2
230319145.yaml,14,5,8,1,5,0,0.0,5,5,0,0,0
230398802.yaml,102,48,42,12,13,0,1.3333333333333333,336,286,18,20,12
231471063.yaml,1,0,1,0,0,0,0,0,0,0,0,0
231562774.yaml,6,3,3,0,1,0,1.3333333333333333,11,6,2,1,2
231569976.yaml,25,1,7,17,0,0,0.0,2,2,0,0,0
232879061.yaml,24,4,11,9,4,0,0.5,6,5,1,0,0
233497447.yaml,9,3,5,1,2,0,0.6666666666666666,8,6,1,1,0
234315986.yaml,30,0,14,16,0,0,0,0,0,0,0,0
235557317.yaml,17,2,10,5,0,0,0.0,4,4,0,0,0
236367775.yaml,6,3,3,0,1,0,1.3333333333333333,9,5,2,0,2
236626606.yaml,76,6,40,30,5,1,0.3333333333333333,9,9,0,0,0
236664662.yaml,9,1,4,4,1,0,0.0,1,1,0,0,0
237598546.yaml,21,1,13,7,0,0,0.0,2,2,0,0,0
238227251.yaml,41,6,22,13,5,0,0.0,9,8,0,1,0
238259381.yaml,5,0,1,4,0,0,0,0,0,0,0,0
238424538.yaml,11,3,6,2,1,0,0.6666666666666666,4,3,1,0,0
238817270.yaml,5,0,2,3,0,0,0,0,0,0,0,0
239700346.yaml,20,7,10,3,2,0,0.5714285714285714,15,13,1,0,1
239746375.yaml,27,10,12,5,2,0,1.2,36,26,6,2,2
239801033.yaml,23,8,12,3,2,0,1.5,33,25,5,2,1
240212194.yaml,4,0,2,2,0,0,0,0,0,0,0,0
240299945.yaml,4,0,2,2,0,0,0,0,0,0,0,0
242053128.yaml,10,2,4,4,1,0,0.0,3,3,0,0,0
